入浴時間帯,疲れ指数,バイト
Late,8.240579663,Y
Late,5.27170261,Y
Late,4.902856493,N
Early,6.324345475,Y
Late,6.930918641,Y
Late,3.408295018,N
Late,7.651890816,Y
Late,6.269689053,Y
Late,7.590436283,Y
Early,4.714658851,N
Early,4.419179409,N
Late,6.838166486,Y
Late,5.962871296,Y
Late,5.948272781,Y
Late,7.713466027,Y
Late,6.536656898,N
Early,4.754630857,N
Late,3.969218952,N
Late,6.691632285,Y
Late,6.306352241,Y
Early,2.625969062,N
Late,3.899742994,Y
Late,5.863582922,Y
Late,5.111667853,Y
Late,8.781547771,Y
Early,7.380506973,Y
Late,6.690417107,Y
Late,7.112566334,Y
Late,8.374132376,Y
Early,5.893671208,N
Early,4.10351388,N
Late,7.298708259,Y
Late,5.104784514,N
Late,6.657752441,Y
Late,8.561690324,Y
Early,7.912270275,Y
Early,6.29872919,N
Late,7.24924663,Y
Early,6.067705202,Y
Early,7.036036719,Y
Early,3.356875186,N
Early,5.011104352,N
Late,5.030322158,Y
Late,7.01494465,Y
Late,6.463710444,Y
Late,8.704015027,Y
Late,7.595609638,Y
Late,6.383164802,N
Early,4.6044476,N
Late,7.98697389,Y
Late,7.708733014,Y
Late,7.946937303,Y
Late,7.092784079,Y
Early,5.217142012,Y
Early,3.555450924,N
Late,6.179722462,Y
Late,6.377281427,Y
Late,7.219048135,Y
Late,6.973069215,Y
Late,7.704394363,Y
Late,5.560570983,N
Early,6.716103845,N
Early,4.858440868,N
Late,7.135767663,Y
Late,7.594491677,Y
Late,5.325771511,Y
Early,5.676841265,N
Late,7.149165835,Y
Late,8.443652572,Y
Late,8.718671775,Y
Early,5.242066816,N
Late,7.446237361,Y
Late,8.342161727,Y
Late,6.61075697,Y
Late,6.435494228,Y
Early,4.254275497,N
Late,7.276955914,Y
Early,5.962628161,N
Early,4.49029478,N
Early,6.951432386,Y
Early,6.814767305,Y
Late,6.920573601,Y
Late,8.646628035,Y
Late,5.495191238,Y
Late,8.76253995,Y
Late,8.61741264,Y
Late,3.382310986,N
Late,8.518891293,Y
Late,4.671997532,N
Late,8.585826436,Y
Late,6.347753518,Y
Late,8.583457763,Y
Late,6.821071017,Y
Late,8.459929141,Y
Late,6.96686698,Y
Late,8.088323566,Y
Early,6.378928319,N
Late,7.958721986,Y
Late,5.909840452,Y
Late,6.185049967,Y
Late,7.34831713,Y
